bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mode
95,77,40,47,2,0,9,3,0
118,44,52,94,11,0,4,29,0
123,75,93,86,8,0,14,3,1
90,63,49,68,38,0,42,18,0
110,73,14,57,40,0,11,5,1
96,66,76,82,47,0,10,32,1
88,56,58,55,35,0,23,11,1
98,73,60,85,17,0,24,5,1
110,72,67,68,0,0,14,4,1
80,70,57,49,19,0,12,8,0
110,86,31,53,43,0,11,6,1
110,79,70,36,0,0,6,11,0
78,77,49,42,1,1,13,19,1
129,83,44,62,2,0,8,6,0
181,44,22,60,61,0,42,9,0
114,75,74,77,1,0,9,10,1
144,74,39,65,5,1,11,35,0
101,66,18,68,9,0,12,4,0
84,67,78,63,29,0,12,5,0
154,66,63,69,21,0,11,7,0
148,59,72,62,18,0,9,3,0
146,85,22,37,13,0,7,30,1
120,77,51,79,20,0,26,6,1
110,53,75,69,7,0,17,3,0
136,77,82,30,95,0,13,5,1
141,59,56,63,12,0,6,36,0
108,46,23,48,75,30,14,4,1
94,42,47,36,76,0,9,5,0
180,35,41,94,0,63,5,5,0
122,77,51,79,5,0,16,5,0
85,59,33,52,7,15,12,3,0
148,68,29,73,0,0,7,7,0
120,83,59,73,6,0,5,11,0
91,70,76,72,22,0,27,4,1
120,72,54,71,26,0,10,4,0
106,86,86,79,11,0,8,9,0
110,63,31,35,93,0,29,3,0
169,39,36,45,81,0,8,13,0
118,80,21,55,1,0,26,17,0
92,91,79,66,32,0,9,16,1
112,45,19,60,63,0,9,6,0
140,79,56,91,26,0,13,21,0
105,73,52,76,13,0,5,3,0
178,76,63,77,14,0,15,22,0
108,96,71,42,57,0,8,9,1
173,40,19,29,86,0,34,4,0
101,67,40,90,3,0,34,6,0
120,80,24,62,41,2,11,23,1
144,73,66,80,44,0,9,12,0
133,75,96,61,0,0,18,4,0
158,46,62,83,53,0,97,28,1
120,81,92,90,9,0,8,7,0
129,61,59,46,56,0,13,5,0
102,74,45,89,5,0,26,13,0
124,79,79,84,2,0,5,5,1
90,73,31,45,85,24,11,3,1
161,78,65,52,46,0,12,31,1
120,60,11,33,90,0,8,5,0
81,45,12,57,7,0,23,3,0
150,78,47,70,18,0,15,9,1
105,76,58,84,10,0,13,10,0
79,63,76,67,38,0,6,4,0
146,52,7,61,51,0,11,3,1
124,64,8,37,79,0,9,5,0
126,53,66,85,2,0,24,4,0
121,75,53,74,2,0,11,5,0
136,80,33,60,0,0,32,14,1
102,77,26,63,58,0,11,5,1
77,73,54,74,23,0,41,23,0
98,82,54,59,69,0,18,10,1
84,44,22,48,38,0,33,24,1
102,89,77,82,3,0,17,11,0
120,42,33,26,92,0,13,3,0
117,52,73,91,0,0,11,7,0
72,45,27,33,82,0,14,4,1
168,67,29,47,5,0,22,26,0
94,52,68,69,13,0,33,8,0
145,41,65,88,0,0,26,5,0
134,71,14,61,1,0,23,33,0
148,35,24,93,0,0,10,8,0
127,60,40,89,9,0,60,6,1
172,74,79,66,11,0,8,16,1
90,75,19,46,21,4,34,8,0
96,57,30,40,38,0,26,3,0
138,74,65,67,46,0,36,4,1
120,72,67,72,0,0,13,4,0
125,70,65,74,1,0,34,4,0
123,82,80,86,1,0,30,13,0
81,79,44,54,41,0,13,24,0
171,55,10,85,7,0,8,20,0
91,77,60,32,84,0,8,5,0
84,56,61,76,10,0,14,11,1
115,90,74,54,16,0,13,28,1
125,69,70,89,4,0,49,3,0
122,80,62,69,28,0,13,7,1
92,85,92,54,16,0,29,7,0
90,63,75,75,17,0,11,8,1
94,84,90,70,9,0,14,8,1
93,81,53,78,18,0,6,24,0
130,51,50,76,30,0,10,7,1
180,35,23,61,23,0,19,6,1
134,53,31,31,92,0,28,3,0
95,92,31,89,3,0,8,25,1
184,69,91,63,11,0,9,31,0
147,47,50,80,10,0,32,38,1
123,52,44,60,40,0,26,3,0
123,91,49,61,3,0,17,22,1
90,90,79,71,26,0,7,37,1
160,61,65,64,1,0,12,4,1
115,60,37,71,8,0,48,4,0
141,37,17,67,2,0,34,9,0
160,31,30,88,7,0,8,8,0
145,57,23,66,4,6,15,4,0
89,46,43,43,23,8,8,22,1
95,84,49,72,8,0,15,8,1
160,60,47,62,3,0,38,4,0
174,67,74,75,44,0,7,30,1
92,77,76,84,3,0,38,4,0
134,93,61,74,9,0,17,8,0
172,31,4,86,1,0,28,17,1
80,76,92,62,6,0,8,13,0
150,91,42,60,0,0,9,12,1
80,78,53,74,4,0,45,21,1
166,81,83,75,14,0,29,34,1
120,67,8,54,27,0,8,4,0
92,86,89,79,17,0,11,6,0
85,74,61,52,30,0,26,9,1
154,79,86,52,66,0,9,7,1
92,73,37,74,28,0,14,6,1
140,89,75,70,6,0,13,5,0
89,65,60,60,11,0,10,40,0
135,89,89,86,16,0,8,5,1
140,51,66,53,60,0,11,18,1
82,47,44,76,8,91,9,3,0
79,78,58,45,47,0,18,3,0
88,31,31,63,47,27,21,12,0
139,44,18,38,70,0,12,4,0
124,73,68,83,55,0,90,7,1
80,39,45,55,73,0,9,21,1
120,84,54,51,47,0,12,40,1
80,56,19,46,92,72,11,3,1
117,92,62,86,11,0,24,24,0
117,76,77,52,4,0,8,3,1
140,62,46,73,10,0,67,11,1
99,68,57,77,2,0,10,5,0
93,74,59,87,3,0,8,5,0
106,44,8,20,74,42,11,3,0
124,81,68,63,17,0,10,22,0
95,76,96,70,18,0,33,4,0
96,87,82,53,10,0,5,8,1
92,81,40,73,15,0,9,8,1
124,95,36,37,35,0,10,28,0
72,64,76,44,70,9,12,4,0
71,28,26,20,19,0,30,3,1
135,78,55,57,4,0,10,8,1
95,81,56,70,4,0,5,24,0
71,59,70,74,56,0,11,40,1
180,80,71,68,6,0,10,37,1
150,65,11,58,0,0,12,9,1
189,55,86,44,40,0,7,4,0
85,72,55,64,49,0,7,4,0
140,59,73,45,44,0,34,3,0
81,77,68,70,6,0,17,20,0
104,80,24,65,2,0,9,4,1
129,42,33,44,62,0,8,6,0
94,76,81,80,20,0,25,4,1
71,41,23,40,27,0,30,5,1
146,59,23,46,66,0,15,6,1
103,69,90,88,5,0,29,8,1
124,53,66,78,0,0,16,5,0
164,70,71,58,24,0,7,13,1
138,69,35,57,12,0,10,9,0
126,67,37,46,13,0,10,39,1
103,61,47,65,3,0,17,4,1
95,75,64,52,41,0,11,3,0
200,39,28,77,4,0,6,29,1
129,86,75,52,54,0,10,4,0
98,68,33,43,38,0,36,14,1
107,91,32,56,3,0,11,10,0
174,58,56,83,5,0,7,4,0
92,45,27,67,32,0,13,14,0
90,81,59,83,9,0,11,5,0
147,60,58,69,2,0,58,4,0
143,68,41,55,16,0,10,12,0
101,76,63,71,3,0,10,3,1
118,70,54,71,0,0,33,4,1
98,83,63,74,14,0,16,6,1
138,72,22,46,24,0,9,6,1
114,59,30,62,1,0,8,4,1
180,63,45,64,34,0,9,8,1
145,56,41,57,1,0,13,3,0
115,78,63,64,1,0,7,4,1
82,79,48,84,13,0,21,23,0
166,70,22,61,2,0,10,34,0
92,86,91,79,29,0,60,16,0
108,71,55,44,74,0,11,6,0
84,71,63,45,45,0,11,3,1
95,69,90,91,6,0,35,4,1
135,93,77,45,25,0,13,27,1
110,57,6,27,84,0,9,3,0
88,89,59,64,5,0,19,7,0
119,87,28,50,12,0,10,10,1
120,58,71,80,15,0,7,41,0
122,86,97,80,36,0,9,6,0
98,78,83,75,41,0,27,8,0
140,45,25,84,21,0,13,6,1
116,79,87,81,4,0,10,4,1
124,86,62,49,51,0,35,21,0
105,91,73,72,13,0,9,15,1
118,68,24,58,44,0,6,3,0
108,61,20,38,61,0,10,5,0
100,61,53,38,84,0,28,44,0
